月季园(徐汇) ,3室1厅,85.36平米,420万,164人关注,共80次带看,xuhui
长丰坊 ,2室1厅,54.74平米,370万,72人关注,共80次带看,xuhui
中远两湾城 ,2室2厅,102.52平米,700万,63人关注,共247次带看,putuo
阳光威尼斯(四期)(公寓) ,2室2厅,82.42平米,400万,306人关注,共169次带看,putuo
中远两湾城 ,2室2厅,111.63平米,750万,247人关注,共161次带看,putuo
万里欣苑 ,2室2厅,85.34平米,550万,162人关注,共148次带看,putuo
华侨城 ,2室2厅,86.41平米,950万,64人关注,共140次带看,putuo
中远两湾城 ,1室2厅,72.94平米,570万,110人关注,共137次带看,putuo
新湖明珠城 ,2室2厅,120.35平米,960万,67人关注,共133次带看,putuo
中远两湾城 ,3室2厅,117.41平米,839万,181人关注,共123次带看,putuo
上青佳园 ,3室2厅,144.12平米,985万,205人关注,共120次带看,putuo
中鼎豪园 ,2室2厅,105.34平米,570万,139人关注,共118次带看,putuo
阳光威尼斯(一期) ,2室1厅,78.64平米,369万,57人关注,共111次带看,putuo
桃浦三村石榴苑 ,2室1厅,67.96平米,257万,116人关注,共111次带看,putuo
桃浦一村海棠苑 ,1室1厅,42.32平米,168万,132人关注,共109次带看,putuo
东沙小区 ,2室1厅,74.94平米,545万,29人关注,共107次带看,putuo
香溢花城(住宅) ,3室2厅,138.67平米,1060万,54人关注,共105次带看,putuo
上青佳园 ,2室2厅,106.06平米,880万,92人关注,共104次带看,putuo
愉景华庭 ,2室2厅,93.82平米,630万,106人关注,共99次带看,putuo
音乐广场 ,3室2厅,157平米,1340万,49人关注,共96次带看,putuo
金沙雅苑(三期) ,2室2厅,103.37平米,745万,15人关注,共94次带看,putuo
新湖明珠城 ,2室2厅,105.74平米,845万,90人关注,共91次带看,putuo
中远两湾城 ,2室2厅,103.44平米,650万,458人关注,共90次带看,putuo
香溢花城(住宅) ,2室2厅,105.71平米,830万,57人关注,共90次带看,putuo
愉景华庭 ,3室2厅,108.13平米,790万,154人关注,共87次带看,putuo
安居锦竹苑 ,2室1厅,77.66平米,335万,94人关注,共86次带看,putuo
紫腾苑小区 ,2室0厅,54平米,220万,154人关注,共86次带看,putuo
荣和怡景园 ,2室1厅,65.23平米,370万,97人关注,共84次带看,putuo
武宁小城 ,2室1厅,66.37平米,410万,133人关注,共82次带看,putuo
上海知音苑 ,3室2厅,134平米,1170万,8人关注,共82次带看,putuo
金沙雅苑(一期) ,2室2厅,92.24平米,565万,337人关注,共81次带看,putuo
车站新村(普陀) ,1室0厅,32.02平米,185万,90人关注,共81次带看,putuo
和平花苑 ,2室2厅,85.66平米,653万,89人关注,共176次带看,yangpu
加州水郡 ,3室2厅,165.19平米,1365万,34人关注,共150次带看,yangpu
加州水郡 ,3室2厅,161.91平米,1350万,26人关注,共138次带看,yangpu
九龙仓玺园 ,3室2厅,145.36平米,1350万,195人关注,共123次带看,yangpu
长白三村 ,1室0厅,33.49平米,175万,104人关注,共118次带看,yangpu
和平花苑 ,3室2厅,135.36平米,1050万,94人关注,共113次带看,yangpu
恒阳花苑 ,2室1厅,66.15平米,520万,149人关注,共108次带看,yangpu
东岸新里 ,2室1厅,76.09平米,560万,144人关注,共105次带看,yangpu
新江湾佳苑 ,3室2厅,86.55平米,750万,134人关注,共104次带看,yangpu
